Date,Open,High,Low,Close,Volume,Adj Close
2013-04-02,1159.35,1181,1155.1,1176.6,225300,1123.2
2013-04-01,1170,1175,1150.55,1160.9,203600,1108.21
2013-03-29,1159.2,1159.2,1159.2,1159.2,0,1106.59
2013-03-28,1148.1,1168,1141.1,1159.2,224200,1106.59
2013-03-27,1158.85,1158.85,1158.85,1158.85,0,1106.25
2013-03-26,1150,1169,1144,1158.85,287700,1106.25
2013-03-25,1163.5,1169.9,1150,1155.8,421000,1103.34
2013-03-22,1125,1153.7,1124.05,1147.6,384000,1095.51
2013-03-21,1143,1164.7,1118.05,1124.45,419900,1073.41
2013-03-20,1192.1,1194.15,1136.15,1148,460500,1077.76
2013-03-19,1229.7,1229.7,1190.1,1195.55,488100,1122.4
2013-03-18,1238.9,1259.7,1218.85,1226.15,256900,1151.13
2013-03-15,1267.7,1273.95,1237.45,1249.35,181200,1172.91
2013-03-14,1253.7,1265,1240.5,1259.2,250400,1182.15
2013-03-13,1278,1285,1246.7,1249.7,248700,1173.23
2013-03-12,1270.25,1300.7,1263.65,1286.35,560600,1207.64
2013-03-11,1265,1273.9,1251.4,1268.75,434300,1191.12
2013-03-08,1264.35,1277.35,1256,1263,462400,1185.72
2013-03-07,1254.05,1272.9,1241.5,1263.4,182400,1186.1
2013-03-06,1265,1269,1245.05,1254.05,571000,1177.32
2013-03-05,1223,1267.05,1206.65,1256.45,774800,1179.57
2013-03-04,1259,1259.7,1211.1,1221.35,544800,1146.62
2013-03-01,1265,1279.9,1248.5,1267.4,149900,1189.85
2013-02-28,1310,1314,1253.5,1272.55,1027600,1194.69
2013-02-27,1310,1315,1296,1302.3,777400,1222.62
2013-02-26,1297,1312,1291.7,1298.35,575700,1218.91
2013-02-25,1302,1321,1293.05,1305.6,332600,1225.71
2013-02-22,1300.05,1308.05,1295,1300.95,376000,1221.35
2013-02-21,1306.9,1313.4,1295.55,1301,762500,1221.4
2013-02-20,1304.9,1316,1289.2,1311.15,533700,1230.92
2013-02-19,1260.45,1305.65,1260.45,1299.8,502200,1220.27
2013-02-18,1257.7,1284.95,1250.1,1262.2,323400,1184.97
2013-02-15,1243,1265,1222,1258.85,481600,1181.82
2013-02-14,1250,1259.7,1234.05,1246.05,227400,1169.81
2013-02-13,1248.9,1262.05,1203,1249.3,515000,1172.86
2013-02-12,1261.8,1264,1231.1,1239.2,468800,1163.38
2013-02-11,1304,1306.4,1253.7,1258.1,586100,1181.12
2013-02-08,1326.8,1334.05,1294.15,1303.75,651400,1223.98
2013-02-07,1329,1349,1321.9,1344.3,564200,1262.05
2013-02-06,1328,1342.9,1318,1333.1,346300,1251.53
2013-02-05,1286,1327.6,1286,1323.7,232600,1242.71
2013-02-04,1321.15,1329.6,1296.4,1300.55,301700,1220.97
2013-02-01,1325,1332.9,1315.15,1318.75,161100,1238.06
2013-01-31,1328,1335.7,1317.1,1323.1,190400,1242.14
2013-01-30,1310.25,1335,1305.35,1324.75,192800,1243.69
2013-01-29,1329,1343.5,1301.1,1304.9,338700,1225.06
2013-01-28,1330.1,1347.95,1319,1328.85,213200,1247.54
2013-01-25,1339,1348.9,1305,1326.75,432700,1245.57
2013-01-24,1348.2,1366.4,1334.05,1345.9,206700,1263.55
2013-01-23,1358.05,1371.7,1345,1355.1,380900,1272.19
2013-01-22,1328.95,1371,1328,1358.9,473800,1275.75
2013-01-21,1346.05,1346.95,1321,1335.5,293400,1253.78
2013-01-18,1360.5,1366.55,1335.6,1345.15,312000,1262.84
2013-01-17,1381,1383.8,1347,1358.85,427300,1275.71
2013-01-16,1387,1393.25,1370.4,1384.5,414300,1299.79
2013-01-15,1364,1392.05,1360,1388.4,448300,1303.45
2013-01-14,1363.1,1371,1336.6,1360.35,305300,1277.11
2013-01-11,1382,1388.05,1354,1361.4,445600,1278.1
2013-01-10,1400.6,1404,1373,1379.05,645400,1294.67
2013-01-09,1420,1424.65,1392.1,1397.7,215300,1312.18
2013-01-08,1415,1437,1410.15,1417.65,202700,1330.91
2013-01-07,1439,1440.8,1413.7,1417.45,103500,1330.72
2013-01-04,1443.8,1446.8,1426,1434.8,212700,1347.01
2013-01-03,1432.55,1452.5,1425.65,1436.3,191600,1348.42
2013-01-02,1437.2,1442,1426,1429.5,151200,1342.03
2013-01-01,1440,1440.85,1424.05,1431.1,125000,1343.53
2012-12-31,1411.95,1437,1408,1432.2,187800,1344.57
2012-12-28,1405,1416.9,1394.95,1409.45,139900,1323.21
2012-12-27,1419.7,1420,1396.45,1402.9,331700,1317.06
2012-12-26,1414.95,1426.15,1411.1,1415.25,113300,1328.65
2012-12-25,1410.85,1410.85,1410.85,1410.85,0,1324.52
2012-12-24,1397.5,1415,1393.75,1410.85,151400,1324.52
2012-12-21,1399,1402.95,1383.15,1397.3,226700,1311.8
2012-12-20,1416,1416,1397.35,1402.5,131400,1316.68
2012-12-19,1424,1424,1403.65,1415.05,295600,1328.47
2012-12-18,1415.55,1423,1391.45,1410.65,174500,1324.34
2012-12-17,1404.9,1418,1390,1414.65,179100,1328.09
2012-12-14,1403,1412.55,1386,1404.35,344100,1318.42
2012-12-13,1433,1444.45,1367.15,1396.05,606200,1310.63
2012-12-12,1439,1442,1417,1421.05,169700,1334.1
2012-12-11,1416,1454,1416,1427.9,350500,1340.53
2012-12-10,1414.8,1431.25,1402.55,1413.5,123100,1327.01
2012-12-07,1425,1438,1410,1414.8,134200,1328.23
2012-12-06,1430.1,1436.9,1401,1418.35,204000,1331.57
2012-12-05,1427.3,1442,1421.25,1431.95,383500,1344.33
2012-12-04,1437,1441,1415,1426.65,220100,1339.36
2012-12-03,1392.25,1447.3,1384.6,1435.9,444200,1348.04
2012-11-30,1399,1406.3,1375,1383.9,396300,1299.22
2012-11-29,1385.1,1409,1385.1,1396.1,406000,1310.68
2012-11-28,1390.5,1390.5,1390.5,1390.5,0,1305.42
2012-11-27,1385,1398,1381,1390.5,199200,1305.42
2012-11-26,1385,1390.35,1370.8,1382.8,97400,1298.19
2012-11-23,1393,1398.5,1372.05,1381.3,93300,1296.78
2012-11-22,1381.1,1404.9,1381.1,1391.65,151700,1306.5
2012-11-21,1385.35,1394,1366.6,1384.3,128200,1299.6
2012-11-20,1385,1393,1351.45,1378.9,295500,1294.53
2012-11-19,1380,1396.75,1368,1382.65,232200,1298.05
2012-11-16,1410.95,1410.95,1369.45,1378.1,132900,1293.78
2012-11-15,1420.05,1423.25,1389.05,1404.4,154500,1318.47
2012-11-14,1434.45,1434.45,1434.45,1434.45,0,1346.68
2012-11-13,1434.45,1434.45,1434.45,1434.45,0,1346.68
2012-11-12,1464.6,1464.6,1429,1434.45,132800,1346.68
2012-11-09,1478.85,1484,1443.5,1453.25,100500,1364.33
2012-11-08,1461,1487.95,1455.2,1473.4,255200,1383.25
2012-11-07,1473,1479.9,1459.15,1472.7,163400,1382.59
2012-11-06,1434.9,1479.9,1433.1,1473.4,460800,1383.25
2012-11-05,1409,1440,1402.5,1436.55,287300,1348.65
2012-11-02,1406.15,1417.3,1398.95,1408.4,128700,1322.22
2012-11-01,1384.95,1399.85,1371.2,1395.1,206100,1309.74
2012-10-31,1376.15,1390.8,1365.1,1379.05,222900,1294.67
2012-10-30,1414.95,1420.6,1375.4,1378.4,240400,1294.06
2012-10-29,1404,1420,1404,1414.75,203500,1328.19
2012-10-26,1401.3,1401.3,1401.3,1401.3,0,1315.56
2012-10-25,1406.8,1413.5,1389.75,1401.3,472600,1315.56
2012-10-24,1404.3,1404.3,1404.3,1404.3,0,1318.37
2012-10-23,1416.85,1423.75,1398.25,1404.3,162500,1318.37
2012-10-22,1407.85,1424,1398.05,1418.65,206500,1331.85
2012-10-19,1419,1435,1397.25,1407.85,1161000,1321.71
2012-10-18,1435,1451.95,1406.1,1416.15,1007200,1329.5
2012-10-17,1451,1458.15,1418.1,1427.65,384500,1340.3
2012-10-16,1491.5,1498,1441.7,1445.7,244700,1357.24
2012-10-15,1495.1,1514.4,1485.1,1489.2,270200,1398.08
2012-10-12,1448,1509.9,1420,1498.05,540500,1406.39
2012-10-11,1426.3,1450,1423.45,1442.55,495000,1354.28
2012-10-10,1426.8,1447.6,1419.6,1425.1,276600,1337.9
2012-10-09,1439,1449.2,1418.2,1429.75,255500,1342.27
2012-10-08,1457,1457,1420.25,1431.8,258500,1344.19
2012-10-05,1485,1488.95,1388.65,1457.65,355600,1368.46
2012-10-04,1472,1545.35,1469.05,1480.7,460000,1390.1
2012-10-03,1467,1475.45,1455.25,1463.85,335500,1374.28
2012-10-02,1458,1458,1458,1458,0,1368.79
2012-10-01,1465,1484.95,1448,1458,389500,1368.79
2012-09-28,1452,1477.5,1440.5,1470.05,416800,1380.1
2012-09-27,1430.5,1456,1430.5,1447.75,566300,1359.17
2012-09-26,1377,1437.25,1373.4,1428.3,571900,1340.91
2012-09-25,1365.55,1381,1365.55,1376.6,225100,1292.37
2012-09-24,1375.25,1380.65,1362.8,1367.85,379000,1284.15
2012-09-21,1358.8,1389.6,1353.8,1379.5,341200,1295.09
2012-09-20,1345,1366.5,1345,1358.35,210400,1275.24
2012-09-19,1368.75,1368.75,1368.75,1368.75,0,1285
2012-09-18,1369.8,1381.75,1360.95,1368.75,183000,1285
2012-09-17,1395,1398.8,1363.3,1371.2,202500,1287.3
2012-09-14,1359.7,1389.8,1350.3,1385.75,356500,1300.96
2012-09-13,1363.5,1363.5,1335.1,1343.5,159300,1261.29
2012-09-12,1355,1369.7,1351,1356.75,139000,1273.73
2012-09-11,1339,1363.75,1330.3,1351.1,263900,1268.43
2012-09-10,1334.15,1350,1329.85,1336.6,168700,1254.82
2012-09-07,1352.15,1352.2,1335.6,1341.15,149900,1259.09
2012-09-06,1293.25,1342.05,1285.15,1335.7,258600,1253.97
2012-09-05,1293.15,1305.65,1284.45,1301.55,161800,1221.91
2012-09-04,1307.7,1307.7,1296.15,1302.85,122800,1223.13
2012-09-03,1311.05,1315,1293.05,1308.6,156300,1228.53
2012-08-31,1317,1327,1304.15,1308.5,187400,1228.44
2012-08-30,1330.5,1338.25,1313.6,1326.85,494700,1245.66
2012-08-29,1343,1343,1323,1337.8,138700,1255.94
2012-08-28,1350.9,1350.9,1324.45,1335.45,86900,1253.74
2012-08-27,1338,1349.8,1332,1346.7,130900,1264.3
2012-08-24,1343.8,1344.45,1329.5,1338.35,80600,1256.46
2012-08-23,1366,1367.9,1340,1346.75,139300,1264.35
2012-08-22,1351.5,1370.8,1345.2,1361.05,180100,1277.77
2012-08-21,1330,1363,1320,1357.85,175500,1274.77
2012-08-20,1326.35,1326.35,1326.35,1326.35,0,1245.19
2012-08-17,1335.15,1338.45,1320.15,1326.35,190500,1245.19
2012-08-16,1356,1358.05,1335.1,1338.45,124700,1256.55
2012-08-15,1354.7,1354.7,1354.7,1354.7,0,1271.81
2012-08-14,1360,1363.9,1350.5,1354.7,174900,1271.81
2012-08-13,1342.05,1364,1339.5,1360.25,235700,1277.02
2012-08-10,1335,1354.8,1335,1342.05,241300,1259.93
2012-08-09,1343.1,1351.35,1333.65,1338.85,210700,1256.93
2012-08-08,1341,1356.9,1335,1341,249000,1258.95
2012-08-07,1318.25,1342.9,1304,1335,539100,1253.31
2012-08-06,1324.8,1325,1314.25,1317.95,252700,1237.31
2012-08-03,1312.1,1315,1305.1,1308.7,204400,1228.62
2012-08-02,1317.1,1327.8,1314.05,1317.55,235000,1236.93
2012-08-01,1314,1327.7,1309,1323.4,213200,1242.42
2012-07-31,1300,1332.3,1295.1,1324.2,464200,1232.85
2012-07-30,1308,1308,1288.65,1297.85,264500,1208.32
2012-07-27,1289.9,1309,1280.55,1293.75,516800,1204.5
2012-07-26,1283,1289.15,1252.3,1260.85,664300,1173.87
2012-07-25,1262.15,1292,1262.15,1276.2,587000,1188.16
2012-07-24,1254.65,1277.5,1252.3,1269.65,241800,1182.06
2012-07-23,1250.35,1271.65,1248.3,1253.4,252100,1166.93
2012-07-20,1254,1268.55,1253.1,1259.3,156600,1172.43
2012-07-19,1275,1277.8,1256.1,1262.85,336100,1175.73
2012-07-18,1258,1281.4,1242.45,1266.95,265300,1179.55
2012-07-17,1262,1271.1,1249.6,1257.8,219200,1171.03
2012-07-16,1266,1272,1255,1258.35,126300,1171.54
2012-07-13,1269.7,1273.3,1260,1263.95,108300,1176.76
2012-07-12,1260.95,1272.85,1255.15,1263.75,234700,1176.57
2012-07-11,1270.4,1286.75,1260.5,1264.4,374700,1177.17
2012-07-10,1284,1287.55,1260.1,1271.95,440300,1184.2
2012-07-09,1284.3,1292.15,1264.05,1280.4,237200,1192.07
2012-07-06,1295,1309.5,1287,1296.1,205600,1206.69
2012-07-05,1294.9,1305,1287.7,1296.75,222300,1207.29
2012-07-04,1298,1305.4,1282,1287.65,311500,1198.82
2012-07-03,1316.2,1321,1285.55,1295.4,376600,1206.04
2012-07-02,1265.25,1320,1253.5,1311.65,652700,1221.16
2012-06-29,1229.8,1273.8,1228.25,1268.05,440500,1180.57
2012-06-28,1208.1,1228,1203.85,1223.4,388200,1139
2012-06-27,1228.05,1230,1203.85,1204.4,378900,1121.31
2012-06-26,1214.95,1228,1209,1220.55,250300,1136.35
2012-06-25,1213,1232.85,1204,1208.95,376200,1125.55
2012-06-22,1193,1241.7,1190.1,1215.05,1188100,1131.23
2012-06-21,1246,1264.95,1227.35,1253.7,861600,1167.21
2012-06-20,1186,1282.7,1180.1,1271.2,2090500,1183.51
2012-06-19,1215,1237.5,1201.45,1227.95,333300,1143.24
2012-06-18,1230,1248.9,1218,1225.55,443400,1141
2012-06-15,1202.4,1231.6,1195.1,1223.25,486500,1138.86
2012-06-14,1174,1208,1171.3,1189.95,579800,1107.86
2012-06-13,1195.8,1195.8,1173.5,1180.1,320300,1098.69
2012-06-12,1147.5,1194.5,1136.5,1188,447900,1106.04
2012-06-11,1151.05,1169,1142.1,1149.4,252800,1070.11
2012-06-08,1141.05,1153.25,1131.6,1147.6,277100,1068.43
2012-06-07,1169,1171.6,1142.55,1154.6,293000,1074.95
2012-06-06,1131.9,1165.95,1131.9,1158.65,498700,1078.72
2012-06-05,1113.1,1143,1112,1129.7,306500,1051.77
2012-06-04,1115.15,1133.4,1104.05,1125.35,253900,1047.72
2012-06-01,1151.9,1151.9,1120.05,1126.85,327100,1049.11
2012-05-31,1153,1168.6,1135.15,1140.95,907200,1062.24
2012-05-30,1138,1169,1130,1162.5,350200,1082.3
2012-05-29,1174.5,1174.5,1133.15,1137.95,313500,1059.45
2012-05-28,1145,1174.35,1133.2,1163.95,336500,1083.65
2012-05-25,1145.1,1156.8,1138,1144.2,168700,1065.27
2012-05-24,1132.1,1162.3,1116.2,1155.5,369300,1075.79
2012-05-23,1128.8,1141,1117.45,1130.45,347400,1052.46
2012-05-22,1150,1157.45,1125,1130.2,338300,1052.23
2012-05-21,1157,1168.7,1142,1145.1,337600,1066.1
2012-05-18,1160,1178.9,1154.4,1159.9,240600,1079.88
2012-05-17,1175,1182,1147.85,1170.9,528700,1090.12
2012-05-16,1153.15,1179.9,1140.05,1172.45,483400,1091.57
2012-05-15,1161,1186.8,1161,1174.35,375600,1093.34
2012-05-14,1166,1187.75,1146.95,1173.3,340200,1092.36
2012-05-11,1187.1,1203.45,1155,1165.95,292100,1085.52
2012-05-10,1200.05,1225,1196,1199.05,234200,1116.33
2012-05-09,1205.15,1219,1195.45,1201.9,170300,1118.99
2012-05-08,1230.1,1250,1212,1221.85,285400,1137.56
2012-05-07,1195,1242,1186.75,1235,472300,1149.8
2012-05-04,1198,1222,1197,1208.45,452800,1125.08
2012-05-03,1201.05,1239.85,1196.1,1206.85,487400,1123.59
2012-05-02,1241,1249.8,1203.2,1212.85,337900,1129.18
2012-05-01,1236.5,1236.5,1236.5,1236.5,0,1151.2
2012-04-30,1196,1246,1196,1237.15,298900,1151.8
2012-04-27,1210.05,1237.9,1189.45,1195.05,327400,1112.61
2012-04-26,1195,1225,1194.6,1218.85,244400,1134.77
2012-04-25,1224.9,1234.5,1188,1194.7,370600,1112.28
2012-04-24,1245,1255.5,1203.5,1214.1,437900,1130.34
2012-04-23,1215,1253.5,1215,1243.45,539600,1157.67
2012-04-20,1240,1240,1198.2,1226.9,1271100,1142.26
2012-04-19,1309.9,1319,1238.3,1247.6,1232400,1161.53
2012-04-18,1269.55,1308.5,1261.7,1297.2,568100,1207.71
2012-04-17,1240,1261.05,1222,1254.7,422200,1168.14
2012-04-16,1253,1266.95,1231,1237.75,249800,1152.36
2012-04-13,1285.25,1304.7,1253.35,1258.75,209500,1171.91
2012-04-12,1250,1284.2,1246,1279.55,323000,1191.28
2012-04-11,1287,1287,1221.05,1236.5,696600,1151.2
2012-04-10,1322.45,1322.45,1295,1300.05,550900,1210.36
2012-04-09,1330.1,1337,1308.45,1312.1,243200,1221.58
2012-04-06,1344.7,1344.7,1344.7,1344.7,0,1251.93
2012-04-05,1344.7,1344.7,1344.7,1344.7,0,1251.93
2012-04-04,1362.7,1362.7,1336,1344.7,136600,1251.93
2012-04-03,1352,1373.25,1351.5,1364.25,387700,1270.14
2012-04-02,1356,1371.3,1334.75,1342,306900,1249.42
2012-03-30,1313.8,1375,1296.5,1359.45,305700,1265.67
2012-03-29,1324.8,1328.7,1291.5,1322.3,598900,1231.08
2012-03-28,1321,1339.05,1311.2,1324,361300,1232.66
2012-03-27,1335,1344.95,1303.15,1324.3,488200,1232.94
2012-03-26,1360.25,1365.7,1324,1330.3,146200,1238.53
2012-03-23,1349.7,1385,1341.25,1372.05,321800,1277.4
2012-03-22,1385,1405,1331.1,1344.5,390700,1251.75
2012-03-21,1359,1397,1355,1390.75,571900,1294.81
2012-03-20,1355,1378,1340,1359.35,242100,1265.57
2012-03-19,1336.1,1383.55,1325.35,1354.95,467600,1261.48
2012-03-16,1336,1355,1320.65,1339.9,630500,1247.47
2012-03-15,1353,1360.05,1338.1,1343.85,235900,1251.14
